団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
063223,山形県,西川町,0.22,89.7,12.0,-,98.4,4775
063231,山形県,朝日町,0.19,99.2,7.9,-,99.6,6199
063240,山形県,大江町,0.26,83.8,8.4,-,95.4,7429
063410,山形県,大石田町,0.22,90.7,11.9,41.3,97.2,6322
063614,山形県,金山町,0.20,87.5,9.8,-,98.1,4981
063622,山形県,最上町,0.23,97.4,9.6,27.8,101.0,7797
063631,山形県,舟形町,0.20,86.4,11.5,-,99.5,4887
063649,山形県,真室川町,0.21,88.5,5.4,14.8,98.6,6884
063657,山形県,大蔵村,0.15,86.2,8.9,-,99.0,2939
063665,山形県,鮭川村,0.17,82.9,5.7,-,98.8,3871
063673,山形県,戸沢村,0.16,81.4,12.8,70.0,99.4,4071
063819,山形県,高畠町,0.40,92.9,11.5,77.4,98.2,22094
063827,山形県,川西町,0.25,94.6,12.6,143.4,97.5,13971
064017,山形県,小国町,0.26,86.9,12.5,60.3,96.6,6938
064025,山形県,白鷹町,0.28,90.3,10.7,31.8,97.8,12758
064033,山形県,飯豊町,0.20,93.1,12.8,117.6,100.1,6530
064262,山形県,三川町,0.37,84.9,9.8,105.9,97.6,7195
064289,山形県,庄内町,0.30,95.9,10.8,26.6,96.4,19897
064611,山形県,遊佐町,0.29,88.3,10.7,61.4,97.3,12796
072010,福島県,福島市,0.77,92.7,2.3,2.7,101.2,270744
072028,福島県,会津若松市,0.62,86.1,4.8,31.8,100.3,114200
072036,福島県,郡山市,0.83,87.6,1.9,-,100.8,317486
072044,福島県,いわき市,0.79,91.1,8.7,-,100.4,310890
072052,福島県,白河市,0.62,90.4,8.6,44.5,99.0,58743
072079,福島県,須賀川市,0.57,97.5,5.2,55.9,101.1,74634
072087,福島県,喜多方市,0.37,98.2,6.3,61.0,101.1,45078
072095,福島県,相馬市,0.67,93.9,11.4,15.7,100.0,33355
072109,福島県,二本松市,0.45,94.9,8.9,41.7,99.4,52162
072117,福島県,田村市,0.35,91.0,8.5,-,96.3,34264
072125,福島県,南相馬市,0.66,95.1,8.7,-,97.4,57527
072133,福島県,伊達市,0.40,96.0,8.8,52.3,97.3,57558
072141,福島県,本宮市,0.65,92.6,5.2,58.4,100.4,29958
073016,福島県,桑折町,0.44,87.6,9.2,5.4,96.1,11229
073032,福島県,国見町,0.30,85.5,3.0,9.2,100.0,8400
073083,福島県,川俣町,0.34,88.6,4.4,-,99.8,11958
073229,福島県,大玉村,0.36,84.5,7.3,-,97.2,8762
073423,福島県,鏡石町,0.58,84.3,9.0,68.9,99.1,12531
073440,福島県,天栄村,0.31,79.3,7.9,-,100.8,5304
073628,福島県,下郷町,0.34,80.8,6.2,-,97.9,5123
073644,福島県,檜枝岐村,0.29,89.9,2.5,-,95.8,521
073679,福島県,只見町,0.22,84.0,3.2,-,98.2,3961
073687,福島県,南会津町,0.23,86.6,6.8,31.2,96.5,14176
074021,福島県,北塩原村,0.24,91.7,14.5,61.2,95.2,2478
074055,福島県,西会津町,0.20,88.9,12.2,85.8,98.1,5694
074071,福島県,磐梯町,0.27,84.9,12.3,94.9,96.4,3289
074080,福島県,猪苗代町,0.37,88.6,10.0,27.7,96.9,13145
074217,福島県,会津坂下町,0.37,85.1,10.3,36.6,98.6,14777
074225,福島県,湯川村,0.22,92.2,10.9,-,99.0,3073
074233,福島県,柳津町,0.19,86.1,5.4,-,97.0,3042
074446,福島県,三島町,0.14,96.7,8.8,-,95.8,1414
074454,福島県,金山町,0.24,80.8,4.5,-,97.0,1801
074462,福島県,昭和村,0.09,94.0,6.7,-,90.1,1142
074471,福島県,会津美里町,0.28,89.4,4.9,-,97.8,18944
074616,福島県,西郷村,0.95,80.0,3.1,-,100.0,20317
074641,福島県,泉崎村,0.56,82.6,7.2,-,97.1,6205
074659,福島県,中島村,0.30,83.8,8.7,-,96.9,4860
074667,福島県,矢吹町,0.60,84.7,11.5,72.3,97.8,16960
074811,福島県,棚倉町,0.51,82.8,12.9,-,99.1,13277
074829,福島県,矢祭町,0.34,79.9,3.9,-,100.0,5352
074837,福島県,塙町,0.27,89.6,10.2,12.3,99.0,8195
074845,福島県,鮫川村,0.17,87.9,6.8,-,99.4,3033
075019,福島県,石川町,0.41,82.7,5.2,6.0,100.9,14122
075027,福島県,玉川村,0.36,90.2,10.7,41.4,100.4,6312
075035,福島県,平田村,0.24,86.7,13.4,37.2,99.1,5625
075043,福島県,浅川町,0.33,85.2,5.5,-,100.7,5984
075051,福島県,古殿町,0.22,83.8,8.5,-,97.0,4774
075213,福島県,三春町,0.44,91.2,7.4,13.2,96.7,16489
075221,福島県,小野町,0.37,88.3,4.7,-,96.8,9313
075418,福島県,広野町,1.22,56.3,6.0,-,98.3,4672
075426,福島県,楢葉町,0.78,69.8,▲ 0.6,-,97.1,6648
075434,福島県,富岡町,0.73,84.9,▲ 1.7,-,97.4,11736
075442,福島県,川内村,0.31,94.0,7.0,-,98.5,2366
075451,福島県,大熊町,1.46,62.0,▲ 1.8,-,96.0,10002
075469,福島県,双葉町,0.69,73.4,4.0,-,89.5,5539
075477,福島県,浪江町,0.42,84.6,2.8,-,94.4,15590
075485,福島県,葛尾村,0.17,89.7,6.4,-,90.7,1307
075612,福島県,新地町,1.04,124.1,9.5,-,98.7,7716
075647,福島県,飯舘村,0.27,76.4,6.6,-,99.6,4824
082015,茨城県,水戸市,0.81,95.5,9.2,132.9,99.3,270010
082023,茨城県,日立市,0.79,96.2,0.1,-,98.8,169785
082031,茨城県,土浦市,0.84,89.6,5.1,5.1,94.7,141418
082040,茨城県,古河市,0.74,90.1,5.5,26.4,96.4,140959
082058,茨城県,石岡市,0.59,91.9,6.7,2.0,96.5,71817
082074,茨城県,結城市,0.71,91.7,7.0,33.8,97.7,50349
082082,茨城県,龍ケ崎市,0.73,91.1,4.6,-,97.8,75813
082104,茨城県,下妻市,0.65,88.8,7.6,77.1,95.4,42419
082112,茨城県,常総市,0.70,88.1,8.2,52.5,98.1,61562
082121,茨城県,常陸太田市,0.40,96.7,3.8,-,97.2,48222
082147,茨城県,高萩市,0.58,92.7,6.9,31.9,97.6,26866
082155,茨城県,北茨城市,0.67,96.0,11.6,98.5,97.5,41448
082163,茨城県,笠間市,0.58,90.2,6.7,-,95.8,73787
082171,茨城県,取手市,0.62,96.0,6.7,9.2,97.5,106011
082198,茨城県,牛久市,0.83,91.6,2.6,-,95.0,84293
082201,茨城県,つくば市,1.06,88.9,5.5,7.4,97.6,252202
082210,茨城県,ひたちなか市,0.93,94.4,10.4,73.7,98.2,156435
082228,茨城県,鹿嶋市,0.98,91.1,6.4,44.4,98.9,66274
082236,茨城県,潮来市,0.48,83.9,10.1,40.4,98.3,26890
082244,茨城県,守谷市,0.97,90.3,4.5,-,96.1,70414
082252,茨城県,常陸大宮市,0.42,89.8,8.8,24.2,98.6,39370
082261,茨城県,那珂市,0.62,90.4,4.0,-,98.1,53839
082279,茨城県,筑西市,0.67,93.7,7.8,51.6,98.4,101606
082287,茨城県,坂東市,0.64,92.1,6.9,50.4,98.2,52639
082295,茨城県,稲敷市,0.48,88.8,9.0,-,97.2,38377
082309,茨城県,かすみがうら市,0.59,88.2,9.5,54.7,97.7,40628
082317,茨城県,桜川市,0.47,87.6,7.7,31.7,98.4,39041
082325,茨城県,神栖市,1.35,91.3,3.7,23.5,96.7,94710
082333,茨城県,行方市,0.43,89.1,8.7,36.0,97.8,32502
082341,茨城県,鉾田市,0.46,91.6,9.1,-,98.5,47181
082350,茨城県,つくばみらい市,0.76,92.2,6.4,18.5,97.2,53004
082368,茨城県,小美玉市,0.59,87.3,6.4,20.1,98.6,49224
083020,茨城県,茨城町,0.58,84.8,5.9,8.1,97.8,31098
083097,茨城県,大洗町,0.68,96.5,6.9,86.4,96.4,15932
083101,茨城県,城里町,0.36,93.8,8.8,42.2,96.7,18379
083411,茨城県,東海村,1.36,87.8,3.1,-,101.3,38424
083640,茨城県,大子町,0.32,89.2,3.7,45.4,98.8,15444
084425,茨城県,美浦村,0.63,88.6,7.5,56.2,100.4,14605
