団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
012360,北海道,北斗市,0.48,84.9,4.3,-,98.9,45025
013030,北海道,当別町,0.37,89.0,9.7,46.9,97.0,15445
013048,北海道,新篠津村,0.20,83.2,1.7,0.5,97.4,2913
013315,北海道,松前町,0.19,83.3,7.9,24.0,98.6,6445
013323,北海道,福島町,0.22,82.8,10.4,7.6,97.3,3702
013331,北海道,知内町,0.28,71.9,10.6,-,98.0,4044
013340,北海道,木古内町,0.20,90.5,12.7,73.3,98.2,3853
013374,北海道,七飯町,0.47,81.9,9.8,35.6,97.2,28062
013439,北海道,鹿部町,0.24,82.4,3.0,-,97.4,3721
013455,北海道,森町,0.30,90.8,12.2,-,98.5,14456
013463,北海道,八雲町,0.29,85.7,12.2,-,96.4,15338
013471,北海道,長万部町,0.24,84.4,11.0,21.5,96.9,4953
013617,北海道,江差町,0.27,85.9,14.2,56.2,96.7,7156
013625,北海道,上ノ国町,0.17,82.3,7.1,-,98.1,4467
013633,北海道,厚沢部町,0.17,74.1,6.1,-,93.6,3599
013641,北海道,乙部町,0.14,67.1,5.0,-,97.1,3428
013676,北海道,奥尻町,0.13,82.9,9.8,9.3,88.3,2425
013706,北海道,今金町,0.20,75.8,6.6,-,98.4,4963
013714,北海道,せたな町,0.15,85.6,8.7,-,95.1,7368
013919,北海道,島牧村,0.09,86.0,6.5,24.8,97.8,1352
013927,北海道,寿都町,0.14,83.1,12.1,-,98.2,2799
013935,北海道,黒松内町,0.14,82.9,11.9,27.2,95.8,2690
013943,北海道,蘭越町,0.18,82.0,11.4,-,95.0,4547
013951,北海道,ニセコ町,0.32,83.7,8.0,53.4,95.2,4946
013960,北海道,真狩村,0.16,90.0,10.7,67.5,95.5,1951
013978,北海道,留寿都村,0.24,84.5,12.0,59.2,98.3,1895
013986,北海道,喜茂別町,0.18,81.9,9.6,67.3,96.2,2078
013994,北海道,京極町,0.75,76.9,7.6,-,96.6,2853
014001,北海道,倶知安町,0.62,81.3,7.3,95.1,96.3,14789
014010,北海道,共和町,0.24,84.1,8.9,-,96.6,5659
014028,北海道,岩内町,0.30,87.5,14.3,111.9,96.5,11658
014036,北海道,泊村,1.53,46.8,1.3,-,97.0,1526
014044,北海道,神恵内村,0.10,90.0,6.6,-,99.1,797
014052,北海道,積丹町,0.11,87.4,9.8,35.0,99.6,1883
014061,北海道,古平町,0.12,76.5,8.6,1.7,95.6,2798
014079,北海道,仁木町,0.17,80.5,9.2,-,98.1,3165
014087,北海道,余市町,0.34,84.4,5.9,26.4,98.2,17920
014095,北海道,赤井川村,0.25,84.9,6.3,-,98.7,1115
014231,北海道,南幌町,0.28,87.5,10.2,95.8,96.8,7378
014249,北海道,奈井江町,0.26,85.0,10.1,36.8,94.6,5090
014257,北海道,上砂川町,0.11,80.8,5.3,26.7,93.4,2698
014273,北海道,由仁町,0.22,84.6,14.5,83.1,95.8,4871
014281,北海道,長沼町,0.31,77.8,10.8,41.6,97.0,10336
014290,北海道,栗山町,0.29,87.1,10.3,33.2,96.6,11308
014303,北海道,月形町,0.16,73.7,3.4,-,96.7,2955
014311,北海道,浦臼町,0.15,73.6,2.7,-,96.7,1692
014320,北海道,新十津川町,0.19,75.9,2.4,-,97.0,6507
014338,北海道,妹背牛町,0.18,69.2,5.7,-,97.3,2757
014346,北海道,秩父別町,0.16,79.4,5.9,-,98.6,2331
014362,北海道,雨竜町,0.15,82.4,7.2,-,97.9,2214
014371,北海道,北竜町,0.13,85.6,10.0,-,98.2,1713
014389,北海道,沼田町,0.15,78.1,▲ 0.1,-,96.8,2951
014524,北海道,鷹栖町,0.28,76.0,4.8,29.7,96.9,6701
014532,北海道,東神楽町,0.38,72.7,9.2,7.5,97.8,10110
014541,北海道,当麻町,0.21,81.0,6.1,35.4,95.5,6267
014559,北海道,比布町,0.17,91.4,6.8,9.5,96.8,3532
014567,北海道,愛別町,0.16,84.3,8.6,-,97.0,2612
014575,北海道,上川町,0.16,81.7,11.2,75.0,100.4,3308
014583,北海道,東川町,0.24,80.2,7.8,4.1,100.0,8390
014591,北海道,美瑛町,0.22,83.4,11.6,41.2,99.5,9636
014605,北海道,上富良野町,0.29,82.7,7.2,18.5,98.5,10342
014613,北海道,中富良野町,0.23,72.6,6.3,-,97.6,4796
014621,北海道,南富良野町,0.12,87.4,12.6,43.1,99.3,2363
014630,北海道,占冠村,0.25,87.6,7.8,42.4,100.8,1229
014648,北海道,和寒町,0.16,74.6,4.5,-,97.7,3097
014656,北海道,剣淵町,0.15,81.1,5.6,-,99.4,2950
014681,北海道,下川町,0.15,85.0,6.2,9.0,97.2,3098
014699,北海道,美深町,0.16,67.9,6.5,-,96.2,3991
014702,北海道,音威子府村,0.10,90.7,6.6,12.1,97.6,682
014711,北海道,中川町,0.11,84.6,13.7,-,96.9,1413
014729,北海道,幌加内町,0.11,86.8,3.3,-,95.5,1332
014818,北海道,増毛町,0.15,76.5,9.6,-,95.5,3964
014826,北海道,小平町,0.14,76.2,9.6,-,96.0,2922
014834,北海道,苫前町,0.15,77.2,8.6,-,94.4,2888
014842,北海道,羽幌町,0.20,83.8,9.9,-,94.7,6531
014851,北海道,初山別村,0.11,78.4,6.3,-,94.5,1113
014869,北海道,遠別町,0.13,77.6,8.8,-,96.6,2466
014877,北海道,天塩町,0.16,73.8,8.2,64.6,96.6,2891
015113,北海道,猿払村,0.24,79.6,9.8,2.6,97.0,2627
015121,北海道,浜頓別町,0.20,84.2,7.9,1.6,96.7,3442
015130,北海道,中頓別町,0.11,58.6,▲ 1.2,-,93.1,1637
015148,北海道,枝幸町,0.20,78.8,8.3,-,96.2,7640
015164,北海道,豊富町,0.19,67.4,13.0,-,95.7,3756
015172,北海道,礼文町,0.13,71.7,13.7,-,95.4,2360
015181,北海道,利尻町,0.11,73.0,12.5,68.3,93.4,1931
015199,北海道,利尻富士町,0.12,73.6,14.3,-,94.3,2333
015202,北海道,幌延町,0.23,71.3,6.3,-,95.9,2240
015431,北海道,美幌町,0.36,81.4,6.3,-,96.7,18563
015440,北海道,津別町,0.20,81.6,6.7,-,98.6,4331
015458,北海道,斜里町,0.36,85.0,10.9,66.6,95.4,11001
015466,北海道,清里町,0.19,74.3,8.9,-,97.5,3879
015474,北海道,小清水町,0.22,74.3,10.4,-,96.5,4579
015491,北海道,訓子府町,0.23,74.4,6.6,-,97.0,4738
015504,北海道,置戸町,0.14,75.2,6.3,-,99.1,2715
015521,北海道,佐呂間町,0.25,76.7,7.9,-,97.3,4842
015555,北海道,遠軽町,0.26,86.3,9.5,17.5,97.0,18956
015598,北海道,湧別町,0.25,77.1,7.2,-,96.7,8316
015601,北海道,滝上町,0.12,79.5,6.3,-,95.8,2412
015610,北海道,興部町,0.22,76.4,7.9,-,97.1,3687
015628,北海道,西興部村,0.10,84.1,9.5,-,98.6,1033
015636,北海道,雄武町,0.20,73.0,8.1,-,99.4,4223
015644,北海道,大空町,0.25,86.8,10.0,-,97.7,6843
015717,北海道,豊浦町,0.19,79.5,13.2,-,97.2,3731
015750,北海道,壮瞥町,0.19,78.7,11.3,-,93.9,2392
015784,北海道,白老町,0.39,90.2,12.1,21.4,98.3,16052
015814,北海道,厚真町,0.45,87.8,10.5,-,99.6,4393
015849,北海道,洞爺湖町,0.27,87.6,10.6,30.9,97.9,8235
015857,北海道,安平町,0.46,86.9,10.1,33.3,97.1,7394
015865,北海道,むかわ町,0.23,88.0,9.3,16.7,97.9,7579
016012,北海道,日高町,0.26,95.0,12.3,58.7,97.9,11445
016021,北海道,平取町,0.18,80.1,5.5,45.0,97.1,4659
016047,北海道,新冠町,0.22,84.3,7.7,-,95.9,5249
016071,北海道,浦河町,0.30,79.4,10.3,17.9,96.6,11720
016080,北海道,様似町,0.18,80.9,11.1,16.9,98.5,4087
016098,北海道,えりも町,0.17,86.0,8.5,-,97.0,4428
016101,北海道,新ひだか町,0.33,84.3,10.0,35.2,95.4,21388
016314,北海道,音更町,0.50,84.0,10.9,40.8,97.8,43483
016322,北海道,士幌町,0.30,85.6,6.8,-,99.3,5946
016331,北海道,上士幌町,0.24,86.9,7.9,-,97.6,4935
016349,北海道,鹿追町,0.26,78.6,9.6,-,98.4,5228
016357,北海道,新得町,0.24,79.6,10.9,-,98.9,5668
016365,北海道,清水町,0.34,83.8,8.0,-,99.1,9157
016373,北海道,芽室町,0.49,81.2,5.2,72.8,98.1,18181
016381,北海道,中札内村,0.29,83.5,6.0,-,96.8,3913
016390,北海道,更別村,0.28,78.3,9.2,-,97.7,3177
016411,北海道,大樹町,0.24,84.0,9.5,27.2,97.0,5423
016420,北海道,広尾町,0.23,82.4,14.7,36.6,97.3,6359
016438,北海道,幕別町,0.35,81.8,9.1,82.5,96.6,26273
016446,北海道,池田町,0.22,84.3,12.8,32.9,98.2,6288
016454,北海道,豊頃町,0.22,74.6,7.5,-,98.0,3031
016462,北海道,本別町,0.27,80.2,11.1,26.3,97.1,6545
016471,北海道,足寄町,0.20,84.5,10.1,-,96.9,6545
016489,北海道,陸別町,0.17,74.0,10.6,-,96.4,2279
016497,北海道,浦幌町,0.20,84.0,8.2,-,95.6,4416
016616,北海道,釧路町,0.50,84.0,7.4,33.3,97.3,19152
016624,北海道,厚岸町,0.23,91.5,11.5,81.9,99.6,8808
016632,北海道,浜中町,0.22,82.7,10.8,74.1,98.1,5499
016641,北海道,標茶町,0.23,88.7,8.7,55.0,96.3,7287
016659,北海道,弟子屈町,0.23,93.3,15.7,2.2,96.4,6840
016675,北海道,鶴居村,0.20,78.4,4.7,-,98.3,2481
016683,北海道,白糠町,0.26,81.7,9.2,-,96.1,7391
016918,北海道,別海町,0.31,91.9,11.9,68.8,97.2,14558
016926,北海道,中標津町,0.42,89.0,12.9,74.4,93.1,22978
016934,北海道,標津町,0.21,72.1,8.5,-,95.8,5056
016942,北海道,羅臼町,0.24,77.4,7.8,-,98.3,4595
022012,青森県,青森市,0.55,87.0,13.2,82.3,97.0,275099
022021,青森県,弘前市,0.49,91.5,6.4,47.4,94.5,166385
022039,青森県,八戸市,0.66,86.4,8.8,96.0,98.0,223434
022047,青森県,黒石市,0.36,88.6,14.1,41.0,93.9,31975
022055,青森県,五所川原市,0.33,95.1,10.0,104.1,97.5,52432
022063,青森県,十和田市,0.43,87.9,7.8,20.5,97.0,59666
022071,青森県,三沢市,0.51,85.2,10.1,48.7,94.1,38744
022080,青森県,むつ市,0.37,95.0,15.0,122.3,97.0,54967
022098,青森県,つがる市,0.24,90.3,12.3,118.6,96.1,30777
022101,青森県,平川市,0.29,92.1,8.1,-,94.7,30505
023019,青森県,平内町,0.26,77.6,9.6,69.7,98.3,10422
023035,青森県,今別町,0.21,75.3,2.9,1.1,98.8,2426
023043,青森県,蓬田村,0.19,79.0,3.5,-,99.1,2648
023078,青森県,外ヶ浜町,0.18,94.8,11.2,30.5,96.0,5521
023213,青森県,鰺ケ沢町,0.22,90.8,14.1,155.9,92.6,9235
023230,青森県,深浦町,0.17,90.8,9.5,29.1,94.8,7538
023434,青森県,西目屋村,0.14,84.2,11.5,20.4,92.1,1301
023612,青森県,藤崎町,0.29,85.1,12.3,31.6,94.2,14704
023621,青森県,大鰐町,0.22,86.8,13.7,104.8,91.1,8947
023671,青森県,田舎館村,0.28,78.3,6.7,-,93.8,7578
023817,青森県,板柳町,0.27,90.1,10.2,-,92.9,12987
023841,青森県,鶴田町,0.27,85.2,12.2,111.1,96.6,12238
023876,青森県,中泊町,0.22,90.5,11.3,62.2,95.4,10278
024015,青森県,野辺地町,0.38,91.3,7.5,8.7,96.8,12646
024023,青森県,七戸町,0.38,82.0,3.8,-,96.7,14911
024058,青森県,六戸町,0.42,82.3,8.3,-,97.4,10913
024066,青森県,横浜町,0.32,88.2,5.4,-,98.5,4319
024082,青森県,東北町,0.30,85.9,11.5,90.5,97.6,16934
024112,青森県,六ケ所村,1.69,89.9,4.3,-,100.9,9999
024121,青森県,おいらせ町,0.46,87.2,10.8,-,95.6,25324
024236,青森県,大間町,0.27,75.0,12.9,12.6,97.4,4972
024244,青森県,東通村,0.66,73.8,14.6,-,94.0,6037
024252,青森県,風間浦村,0.09,86.5,13.0,-,96.2,1740
024261,青森県,佐井村,0.12,75.1,5.1,-,94.1,1825
024414,青森県,三戸町,0.25,87.6,10.8,24.6,94.2,9456
024422,青森県,五戸町,0.28,83.7,9.2,4.1,94.3,16388
024431,青森県,田子町,0.21,81.7,7.1,16.8,93.1,5145
024457,青森県,南部町,0.28,82.2,7.4,-,93.2,17301
024465,青森県,階上町,0.36,85.1,11.2,2.5,95.9,13064
024503,青森県,新郷村,0.17,77.8,6.5,-,93.0,2300
032018,岩手県,盛岡市,0.74,92.1,9.9,57.8,99.0,285270
032026,岩手県,宮古市,0.38,92.2,8.3,15.5,94.5,49274
032034,岩手県,大船渡市,0.46,89.4,11.6,93.0,96.4,34285
032051,岩手県,花巻市,0.47,83.9,8.3,50.4,95.8,93493
032069,岩手県,北上市,0.79,94.2,7.0,45.1,99.0,92413
032077,岩手県,久慈市,0.41,91.2,12.5,104.3,96.4,33344
032085,岩手県,遠野市,0.31,87.2,10.8,65.9,97.2,25526
032093,岩手県,一関市,0.37,94.7,10.1,67.0,97.9,111792
032107,岩手県,陸前高田市,0.33,89.4,14.5,-,95.1,18338
032115,岩手県,釜石市,0.51,94.9,14.4,-,96.9,31413
032131,岩手県,二戸市,0.36,92.5,10.9,34.4,97.1,25665
032140,岩手県,八幡平市,0.30,97.2,16.9,48.9,96.6,24287
032158,岩手県,奥州市,0.43,92.0,15.0,48.8,98.5,113162
032166,岩手県,滝沢市,0.59,83.8,6.1,40.4,97.0,55642
033014,岩手県,雫石町,0.39,90.2,6.2,9.9,95.7,15795
033022,岩手県,葛巻町,0.17,81.4,8.3,-,96.1,5745
033031,岩手県,岩手町,0.33,82.1,7.2,24.0,94.8,12425
033219,岩手県,紫波町,0.47,88.0,12.9,105.1,94.3,33188
033227,岩手県,矢巾町,0.67,93.5,15.8,97.7,97.2,26940
033669,岩手県,西和賀町,0.15,89.6,12.8,79.4,97.0,5219
033812,岩手県,金ケ崎町,0.67,86.7,13.2,-,97.8,15419
034029,岩手県,平泉町,0.31,86.7,9.1,80.1,98.0,7232
034410,岩手県,住田町,0.18,79.8,9.0,-,95.0,5050
034614,岩手県,大槌町,0.31,90.6,12.7,-,94.3,11158
034827,岩手県,山田町,0.32,85.4,5.4,-,96.6,14808
034835,岩手県,岩泉町,0.16,88.8,14.0,-,95.9,8591
034843,岩手県,田野畑村,0.16,86.5,8.5,-,89.8,3117
034851,岩手県,普代村,0.16,101.6,9.4,-,93.3,2483
035017,岩手県,軽米町,0.31,85.8,10.9,63.6,91.3,8555
035033,岩手県,野田村,0.20,81.4,6.6,-,91.7,4105
035068,岩手県,九戸村,0.20,81.1,7.2,-,92.7,5468
035076,岩手県,洋野町,0.26,90.3,11.6,8.7,91.8,15717
035246,岩手県,一戸町,0.34,87.0,7.8,13.2,97.4,11560
041009,宮城県,仙台市,0.90,96.6,6.9,59.1,102.5,1065365
042021,宮城県,石巻市,0.54,97.5,9.5,37.8,96.2,138686
042030,宮城県,塩竈市,0.51,91.6,4.6,-,97.2,52995
042056,宮城県,気仙沼市,0.45,97.6,8.9,-,95.4,60151
042064,宮城県,白石市,0.49,84.8,3.0,-,96.5,32526
042072,宮城県,名取市,0.83,95.7,4.3,-,96.0,79504
042081,宮城県,角田市,0.50,90.7,9.7,37.3,96.7,27770
042099,宮城県,多賀城市,0.71,96.0,3.9,-,93.2,62136
042111,宮城県,岩沼市,0.81,95.6,▲ 1.8,-,96.0,43878
042129,宮城県,登米市,0.36,93.2,7.1,69.0,93.4,76120
042137,宮城県,栗原市,0.31,92.5,7.9,24.1,94.3,64621
042145,宮城県,東松島市,0.46,92.6,9.5,-,95.9,39304
042153,宮城県,大崎市,0.49,91.1,6.9,56.6,98.2,126836
042161,宮城県,富谷市,0.81,89.0,▲ 2.3,-,92.9,52494
043010,宮城県,蔵王町,0.46,87.8,4.2,-,97.5,11490
043028,宮城県,七ケ宿町,0.32,83.3,6.6,-,97.6,1285
043214,宮城県,大河原町,0.63,93.5,0.4,22.7,96.2,23660
043222,宮城県,村田町,0.41,88.2,11.8,72.4,92.8,10404
043231,宮城県,柴田町,0.61,89.1,4.1,61.9,96.0,37267
043249,宮城県,川崎町,0.31,84.2,4.8,-,98.2,8430
043419,宮城県,丸森町,0.30,80.3,9.3,4.7,89.2,12534
043613,宮城県,亘理町,0.59,89.0,5.3,-,93.8,33419
043621,宮城県,山元町,0.38,85.6,7.1,-,91.2,11945
044016,宮城県,松島町,0.46,87.7,7.4,6.7,92.1,13502
044041,宮城県,七ケ浜町,0.55,89.1,0.8,-,91.9,18247
044067,宮城県,利府町,0.82,86.0,6.8,40.7,96.5,36074
044211,宮城県,大和町,1.05,91.0,1.0,-,96.0,28130
044229,宮城県,大郷町,0.46,82.2,8.4,-,94.1,7831
044245,宮城県,大衡村,0.77,90.6,5.8,-,94.3,5770
044440,宮城県,色麻町,0.29,83.5,10.2,79.1,96.0,6523
044458,宮城県,加美町,0.35,84.8,7.5,31.1,94.4,22115
045012,宮城県,涌谷町,0.38,78.6,7.4,20.4,92.9,15182
045055,宮城県,美里町,0.42,84.6,6.7,14.1,94.5,23845
045811,宮城県,女川町,1.01,94.3,5.0,-,94.0,6098
046060,宮城県,南三陸町,0.31,93.8,9.6,-,91.1,12218
052019,秋田県,秋田市,0.66,88.1,8.8,81.5,97.9,303122
052027,秋田県,能代市,0.46,86.2,7.7,35.4,96.1,50397
052035,秋田県,横手市,0.33,91.3,7.2,13.6,96.8,85912
052043,秋田県,大館市,0.42,90.9,8.2,82.2,98.2,69293
052060,秋田県,男鹿市,0.35,87.7,9.4,36.6,95.7,25531
052078,秋田県,湯沢市,0.31,92.9,12.4,63.5,94.6,42450
052094,秋田県,鹿角市,0.32,87.6,8.4,38.7,97.7,29169
052108,秋田県,由利本荘市,0.34,88.5,10.7,93.5,96.3,73941
052116,秋田県,潟上市,0.33,90.7,6.8,46.5,94.4,32168
052124,秋田県,大仙市,0.34,87.0,10.6,93.8,97.8,77946
052132,秋田県,北秋田市,0.26,94.2,9.2,51.7,96.9,30112
052141,秋田県,にかほ市,0.35,88.9,8.2,52.2,93.7,23490
052159,秋田県,仙北市,0.26,93.2,9.3,99.6,97.1,24740
053031,秋田県,小坂町,0.28,88.0,15.3,60.1,92.7,4794
053279,秋田県,上小阿仁村,0.13,83.8,6.7,-,92.2,2113
053465,秋田県,藤里町,0.13,85.8,6.0,11.9,94.9,3002
053481,秋田県,三種町,0.25,85.4,6.8,-,96.0,15353
053490,秋田県,八峰町,0.17,85.5,8.9,-,94.5,6693
053619,秋田県,五城目町,0.25,88.6,10.0,62.3,95.3,8617
053635,秋田県,八郎潟町,0.25,83.1,11.7,-,89.8,5491
053660,秋田県,井川町,0.22,77.4,6.2,-,94.3,4504
053686,秋田県,大潟村,0.36,87.3,8.4,-,94.7,3070
054348,秋田県,美郷町,0.25,82.6,▲ 1.3,-,94.0,18549
054631,秋田県,羽後町,0.26,87.3,10.5,-,94.3,13963
054640,秋田県,東成瀬村,0.12,90.5,16.2,17.3,95.7,2416
062014,山形県,山形市,0.76,83.7,7.4,99.5,100.8,242284
062022,山形県,米沢市,0.58,87.1,7.8,47.8,100.0,78118
062031,山形県,鶴岡市,0.42,89.6,6.1,44.8,100.8,122203
062049,山形県,酒田市,0.49,90.2,10.1,28.8,99.1,98795
062057,山形県,新庄市,0.52,87.0,7.1,19.3,99.3,34127
062065,山形県,寒河江市,0.54,89.3,7.8,-,98.7,40452
062073,山形県,上山市,0.48,90.6,6.8,43.9,97.8,29092
062081,山形県,村山市,0.36,78.6,8.6,62.1,98.2,22652
062090,山形県,長井市,0.44,84.0,10.9,225.0,99.8,25786
062103,山形県,天童市,0.69,83.4,4.1,-,100.0,61496
062111,山形県,東根市,0.65,84.0,7.5,7.6,98.3,47950
062120,山形県,尾花沢市,0.29,87.7,7.1,55.2,97.7,14913
062138,山形県,南陽市,0.48,88.2,12.0,127.1,99.9,30295
063011,山形県,山辺町,0.38,82.4,10.5,3.2,96.0,13895
063029,山形県,中山町,0.36,88.8,11.9,60.2,99.0,10897
063215,山形県,河北町,0.44,86.9,8.8,45.8,97.1,17636
063223,山形県,西川町,0.23,88.5,11.5,-,99.6,4913
063231,山形県,朝日町,0.20,91.2,6.4,-,99.4,6361
063240,山形県,大江町,0.27,80.5,7.6,-,95.5,7617
063410,山形県,大石田町,0.23,87.5,11.6,56.1,98.8,6518
063614,山形県,金山町,0.20,85.5,10.2,9.0,98.6,5098
063622,山形県,最上町,0.23,89.6,8.6,30.9,101.0,8030
063631,山形県,舟形町,0.20,82.7,12.6,-,99.2,5016
063649,山形県,真室川町,0.21,82.8,5.5,27.3,99.5,7111
063657,山形県,大蔵村,0.15,79.0,8.0,-,99.7,3030
063665,山形県,鮭川村,0.18,80.6,6.1,-,99.6,3979
063673,山形県,戸沢村,0.16,73.5,11.6,83.8,97.1,4186
063819,山形県,高畠町,0.40,87.3,10.6,88.2,100.3,22454
063827,山形県,川西町,0.25,91.5,12.0,132.6,97.0,14360
064017,山形県,小国町,0.26,81.2,12.4,69.4,95.8,7085
064025,山形県,白鷹町,0.28,86.8,9.3,38.8,97.7,13005
064033,山形県,飯豊町,0.20,85.6,12.0,115.4,99.6,6651
064262,山形県,三川町,0.39,80.9,10.6,111.5,96.6,7311
064289,山形県,庄内町,0.30,90.8,11.0,32.9,96.1,20307
064611,山形県,遊佐町,0.30,82.6,9.9,60.8,97.5,13059
072010,福島県,福島市,0.78,86.4,1.4,9.5,101.5,273348
072028,福島県,会津若松市,0.62,85.6,4.8,30.8,100.4,115556
072036,福島県,郡山市,0.84,80.3,2.7,-,100.9,319702
072044,福島県,いわき市,0.79,86.0,7.8,2.7,100.6,314913
072052,福島県,白河市,0.63,85.4,9.5,47.6,99.1,59430
072079,福島県,須賀川市,0.57,91.9,8.3,57.7,101.0,75123
072087,福島県,喜多方市,0.37,92.3,6.8,53.1,101.1,46004
072095,福島県,相馬市,0.69,89.9,11.5,27.4,100.9,33831
072109,福島県,二本松市,0.45,88.3,8.9,45.5,99.6,52892
072117,福島県,田村市,0.34,84.0,8.3,-,96.7,34947
072125,福島県,南相馬市,0.67,91.0,9.1,-,97.6,58467
072133,福島県,伊達市,0.40,94.4,7.8,55.5,97.5,58320
072141,福島県,本宮市,0.66,87.7,5.7,60.0,100.6,30040
073016,福島県,桑折町,0.45,88.1,9.2,14.0,94.2,11422
073032,福島県,国見町,0.31,82.8,3.2,2.4,100.3,8601
073083,福島県,川俣町,0.36,81.7,4.4,1.9,99.2,12347
073229,福島県,大玉村,0.37,75.9,7.2,-,97.6,8735
073423,福島県,鏡石町,0.60,81.9,8.5,40.9,98.6,12615
073440,福島県,天栄村,0.32,76.8,7.8,-,100.3,5403
073628,福島県,下郷町,0.36,81.0,6.5,-,98.6,5289
073644,福島県,檜枝岐村,0.32,88.6,1.8,-,93.9,530
073679,福島県,只見町,0.23,79.3,3.0,-,98.1,4053
073687,福島県,南会津町,0.23,86.6,5.8,31.4,96.2,14517
074021,福島県,北塩原村,0.25,86.7,14.3,76.0,96.2,2591
074055,福島県,西会津町,0.20,87.8,12.6,78.3,98.6,5850
074071,福島県,磐梯町,0.27,74.2,12.6,81.3,96.3,3349
074080,福島県,猪苗代町,0.38,85.0,10.3,35.6,97.6,13387
074217,福島県,会津坂下町,0.37,83.2,11.0,49.1,98.1,15116
074225,福島県,湯川村,0.24,88.8,10.6,-,100.5,3139
074233,福島県,柳津町,0.19,80.5,4.9,-,97.4,3135
074446,福島県,三島町,0.14,89.8,6.2,-,96.5,1471
074454,福島県,金山町,0.24,74.8,4.4,-,98.0,1875
074462,福島県,昭和村,0.10,88.6,6.0,-,93.0,1172
074471,福島県,会津美里町,0.28,86.7,5.2,-,98.0,19329
074616,福島県,西郷村,0.95,85.3,3.3,-,100.1,20201
074641,福島県,泉崎村,0.58,79.2,7.2,-,95.8,6324
074659,福島県,中島村,0.31,83.5,8.8,-,97.7,4895
074667,福島県,矢吹町,0.60,83.4,11.2,73.1,98.7,17092
074811,福島県,棚倉町,0.53,81.6,12.6,-,99.4,13490
074829,福島県,矢祭町,0.37,74.8,3.2,-,99.7,5481
074837,福島県,塙町,0.28,87.7,9.3,12.3,98.6,8337
074845,福島県,鮫川村,0.17,80.1,6.4,-,97.9,3121
075019,福島県,石川町,0.42,82.9,5.0,15.7,100.9,14390
075027,福島県,玉川村,0.37,87.0,11.1,11.9,99.3,6421
075035,福島県,平田村,0.26,82.2,12.7,41.8,98.7,5754
075043,福島県,浅川町,0.34,78.9,5.0,-,100.3,6152
075051,福島県,古殿町,0.22,85.3,8.1,-,97.8,4869
075213,福島県,三春町,0.45,81.7,7.4,10.4,96.6,16662
075221,福島県,小野町,0.36,83.8,4.5,-,97.2,9545
075418,福島県,広野町,1.08,90.0,6.6,-,99.9,4702
075426,福島県,楢葉町,0.83,75.7,0.0,-,97.1,6682
075434,福島県,富岡町,0.79,90.7,▲ 0.8,-,97.8,12043
075442,福島県,川内村,0.31,88.5,7.7,-,95.6,2432
075451,福島県,大熊町,1.45,67.3,▲ 2.2,-,96.3,10160
