団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
011002,北海道,札幌市,0.72,93.0,2.7,29.3,99.6,1960668
012025,北海道,函館市,0.48,91.2,5.1,40.1,97.5,248106
012033,北海道,小樽市,0.46,91.6,5.7,30.1,96.3,110426
012041,北海道,旭川市,0.53,89.3,8.3,81.9,98.5,327960
012050,北海道,室蘭市,0.63,90.3,9.6,42.5,98.4,79986
012068,北海道,釧路市,0.45,91.0,10.7,57.4,99.9,163110
012076,北海道,帯広市,0.60,89.8,8.4,54.4,99.4,165047
012084,北海道,北見市,0.45,92.5,10.3,147.5,96.7,114326
012092,北海道,夕張市,0.20,118.9,68.3,274.0,89.3,7055
012106,北海道,岩見沢市,0.38,98.2,9.4,75.4,99.6,78112
012114,北海道,網走市,0.44,90.9,16.9,107.4,96.9,34016
012122,北海道,留萌市,0.32,90.6,10.9,35.0,95.4,19739
012131,北海道,苫小牧市,0.77,87.8,6.6,58.6,98.4,169528
012149,北海道,稚内市,0.39,87.4,10.6,40.7,96.0,32280
012157,北海道,美唄市,0.27,96.0,12.4,88.8,96.2,20001
012165,北海道,芦別市,0.25,92.2,5.3,76.3,94.2,12430
012173,北海道,江別市,0.55,87.5,5.6,1.3,96.4,119701
012181,北海道,赤平市,0.19,92.8,11.4,93.6,96.2,9368
012190,北海道,紋別市,0.32,85.0,9.7,-,94.5,20928
012203,北海道,士別市,0.25,92.7,14.2,110.9,93.0,17676
012211,北海道,名寄市,0.27,90.0,10.2,7.5,99.5,26663
012220,北海道,三笠市,0.20,92.9,9.2,24.6,97.0,7930
012238,北海道,根室市,0.34,84.6,8.5,-,99.0,24231
012246,北海道,千歳市,0.75,85.8,7.7,0.4,96.9,97716
012254,北海道,滝川市,0.40,88.0,8.5,47.3,97.9,38780
012262,北海道,砂川市,0.31,81.8,5.1,65.6,99.2,16169
012271,北海道,歌志内市,0.11,89.7,9.5,-,95.1,2916
012289,北海道,深川市,0.27,80.0,14.3,107.8,98.9,19658
012297,北海道,富良野市,0.35,78.4,7.2,64.7,98.9,20617
012301,北海道,登別市,0.46,91.2,11.4,55.7,95.0,46135
012319,北海道,恵庭市,0.60,90.3,5.2,12.3,98.4,70108
012335,北海道,伊達市,0.39,83.4,4.6,-,98.9,32901
012343,北海道,北広島市,0.64,89.5,7.4,82.4,98.8,57767
012351,北海道,石狩市,0.53,93.2,6.8,51.6,97.5,58096
